Modelo;Descripcion;Cant;Categoria;Cod barras;FECHA;
THC-T129-MS;[ColorVu] Turret TURBOHD 1080p / Imagen a color 24/7 / Lente 2.8 mm / Micrófono Integrado / Luz Blanca 20 mts / IP66 / Metálica;1;CCTV;;03/02/2026;
THC-B223-M;Cámara de bala fija con luz ultrabaja de 2 MP;3;CCTV;;03/02/2026;
DS-2CE70DF0T-MF;[ColorVu] Turret TURBOHD 2 Megapixel (1080p) / Imagen a Color 24/7 / Lente 2.8 mm / METAL / Luz Blanca 20 mts / Exterior IP67 / TVI-AHD-CVI-CVBS / dWDR;3;CCTV;;03/02/2026;
B8-TURBO-G2P/A;AUDIO POR COAXITRON / Bala TURBOHD 2 Megapixel (1080p) / Gran Angular 106° / Lente 2.8 mm / 25 mts IR EXIR / Exterior IP66 / 4 Tecnologías / dWDR;2;CCTV;;03/02/2026;
DS-2CE12DF0T-F;[ColorVu] Bala TURBOHD 2 Megapixel (1080p) / Imagen a Color 24/7 / Lente 3.6 mm / METAL / Luz Blanca 40 mts / Exterior IP67 / TVI-AHD-CVI-CVBS / dWDR;8;CCTV;;03/02/2026;
DS-2CE12DF0T-F;[ColorVu] Bala TURBOHD 2 Megapixel (1080p) / Imagen a Color 24/7 / Lente 3.6 mm / METAL / Luz Blanca 40 mts / Exterior IP67 / TVI-AHD-CVI-CVBS / dWDR;1;CCTV;;03/02/2026;
DS-2CD1T47G2H-LIUF;[Dual Light + ColorVu] Bala IP 4 Megapixel / Lente 4 mm / 50 mts IR + 50 mts Luz Blanca / Micrófono Integrado / ACUSENSE Lite / Exterior IP67 / WDR 120 dB / PoE / Micro SD;1;CCTV;;03/02/2026;
IDS-7208HUHI-M1/XT;DVR 8 Canales TURBOHD + 8 Canales IP / 8 Megapixel (4K) / Audio de dos vías por Coaxitron / ACUSENSE / Reconocimiento Facial / 1 Bahía de Disco Duro / Salida de Video en 4K / H.265+;1;CCTV;;03/02/2026;
DS-7604NI-Q1/4P(D);NVR 8 Megapixel (4K) (Compatible con Cámaras ACUSENSE) / 4 canales IP / 4 Puertos PoE+ / 1 Bahía de Disco Duro / Salida de Vídeo en 4K / 300 Metros PoE Modo Extendido;1;CCTV;;03/02/2026;
DS-7204HGHI-M1(T);[Audio Bidireccional] DVR 4 Canales TurboHD + 1 Canal IP / 2 Megapixel (1080p) Lite / Acusense Lite (Evita Falsas Alarmas) / Audio por Coaxitron / 1 Bahia de Disco Duro / H.265+ / Salida de Vídeo Full HD;1;CCTV;;03/02/2026;
